psfMag_r	fiberMag_r	fiber2Mag_r	petroMag_r	deVMag_r	expMag_r	modelMag_r	cModelMag_r	class
21.82065	21.75796	22.35131	21.13824	20.91042	21.14484	21.14484	21.1165	b'GALAXY'
21.82653	21.65621	22.32339	20.41763	20.08559	20.46935	20.46935	20.27927	b'GALAXY'
20.91071	20.85756	21.47207	19.93928	19.87638	20.14196	19.87649	19.94489	b'GALAXY'
21.39449	21.43158	22.00631	20.97441	20.82991	20.94954	20.82992	20.86061	b'GALAXY'
21.63015	21.56546	22.16552	20.86886	20.79543	20.98184	20.98184	20.90618	b'GALAXY'
18.0012	17.90906	18.54709	16.59717	16.52394	16.89641	16.52395	16.52394	b'GALAXY'
18.82206	18.73726	19.36963	17.52121	17.46898	17.86498	17.46898	17.46898	b'GALAXY'
16.1394	16.45056	16.94037	16.14778	16.10999	16.11031	16.10999	16.10999	b'STAR'
21.54662	21.39864	22.02084	20.59288	20.41793	20.73597	20.73597	20.55799	b'GALAXY'
21.00777	21.15231	21.69321	20.50062	20.63826	20.79099	20.63826	20.6428	b'GALAXY'
20.28395	19.99961	20.69178	18.79509	18.40916	18.81991	18.81992	18.73103	b'GALAXY'
19.82337	19.68486	20.31862	18.54141	18.53842	18.94146	18.53843	18.53842	b'GALAXY'
15.90903	16.23342	16.71753	15.96032	15.91316	15.91327	15.91327	15.91321	b'STAR'
21.64132	21.75522	22.30595	21.31145	21.23598	21.3465	21.23598	21.23598	b'GALAXY'
21.62728	21.61831	22.21112	20.85623	20.78522	21.02103	20.78522	20.78522	b'GALAXY'
21.02063	20.95805	21.56609	20.24205	20.09914	20.33669	20.33669	20.19116	b'GALAXY'
21.31805	21.64525	22.11929	21.35757	21.2964	21.29566	21.29566	21.29566	b'STAR'
21.31038	21.28442	21.8825	20.08544	20.09444	20.62448	20.09438	20.09444	b'GALAXY'
21.11931	21.38638	21.88088	21.11435	21.02638	21.03288	21.03285	21.03288	b'STAR'
21.72573	21.76523	22.33282	20.89626	20.99713	21.36444	20.99713	21.10008	b'GALAXY'
21.16202	20.89495	21.57116	19.69442	19.29626	19.74087	19.74087	19.56873	b'GALAXY'
21.1643	21.16166	21.75182	20.29672	20.2701	20.53051	20.2701	20.2701	b'GALAXY'
21.17091	21.20931	21.7926	20.47507	20.51306	20.72967	20.51306	20.51306	b'GALAXY'
21.95549	21.81623	22.41586	20.92462	20.96317	21.32149	20.96317	20.96317	b'GALAXY'
21.22979	21.35124	21.90438	20.76433	20.81961	20.93742	20.81961	20.81961	b'GALAXY'
22.04899	21.90359	22.51741	21.07747	21.00299	21.22869	21.00291	21.00299	b'GALAXY'
20.84966	20.7374	21.36349	19.76949	19.65959	20.00583	19.65953	19.65959	b'GALAXY'
21.29291	21.22929	21.84921	20.36922	20.26123	20.56276	20.26124	20.26123	b'GALAXY'
21.23979	21.23971	21.82719	20.37997	20.34314	20.69592	20.34334	20.34314	b'GALAXY'
21.27686	21.54528	22.04993	20.89812	21.20549	21.21724	21.20564	21.20549	b'STAR'
20.9851	20.94797	21.55707	19.83596	19.86955	20.29525	19.86955	19.86955	b'GALAXY'
20.07598	20.0133	20.61781	19.20022	19.12727	19.40819	19.12728	19.12727	b'GALAXY'
19.11806	18.98174	19.61711	17.79504	17.6447	18.00752	17.64471	17.64623	b'GALAXY'
22.462	22.47226	23.05649	22.05225	21.63785	21.77395	21.77374	21.69363	b'GALAXY'
21.7908	21.63963	22.29219	20.99548	20.55545	20.83297	20.83294	20.77374	b'GALAXY'
21.99849	21.57956	22.29195	20.58831	20.07651	20.47831	20.47831	20.47831	b'GALAXY'
21.86345	21.64054	22.28438	20.81634	20.70249	21.02088	20.70247	20.83596	b'GALAXY'
21.57131	21.5323	22.12646	20.9837	20.83588	20.97332	20.97332	20.89215	b'GALAXY'
20.50189	20.43319	21.05944	19.18526	19.10708	19.53034	19.10708	19.10708	b'GALAXY'
20.50019	20.26618	20.93514	19.05492	18.83186	19.27295	18.83186	18.98235	b'GALAXY'
18.20896	18.22379	18.80731	17.47816	17.44101	17.65253	17.441	17.44101	b'GALAXY'
19.39444	18.92073	19.68572	17.26574	16.70191	17.19045	17.19045	17.19045	b'GALAXY'
21.5537	21.40845	22.03571	20.6808	20.39872	20.70735	20.70743	20.59752	b'GALAXY'
